time,index,clicks,spacebar,restartpart2,game won
00:03.001,1,2,,,
00:03.927,,,true,,
00:06.001,2,2,,,
00:07.199,,,true,,
00:09.003,3,2,,,
00:09.191,,,true,,
00:09.656,,,true,,
00:10.456,,,true,,
00:12.004,4,1,,,
00:13.712,,,true,,
00:17.005,5,5,,,
00:17.127,,,true,,
00:20.231,,,true,,
00:22.006,6,4,,,
00:22.839,,,true,,
00:24.951,,,true,,
00:25.455,,,true,,
00:27.006,7,5,,,
00:32.007,8,6,,,
00:33.680,,,true,,
00:35.551,,,true,,
00:36.575,,,true,,
00:37.008,10,4,,,
00:38.009,11,0,,,
00:38.927,,,true,,
00:39.327,,,true,,
00:42.071,,,true,,
00:44.206,,,true,,
00:44.968,,,true,,
00:47.560,,,true,,
00:49.648,,,true,,
00:50.128,,,true,,
00:52.040,,,true,,
00:52.552,,,true,,
00:53.288,,,true,,
00:55.775,,,true,,
00:56.695,,,true,,
00:57.962,,,true,,
00:58.354,,,true,,
00:58.626,,,true,,
00:58.914,,,true,,
00:59.530,,,true,,
01:02.403,,,true,,
01:04.955,,,true,,
01:07.155,,,true,,
01:07.491,,,true,,
01:09.014,12,19,,,
01:14.015,13,0,,,
01:15.235,,,true,,
01:17.016,14,0,,,
01:20.018,15,0,,,
01:23.019,16,0,,,
01:25.769,17,0,,,
01:28.770,18,0,,,
01:33.771,19,0,,,
01:36.772,20,0,,,
01:39.774,21,1,,,
01:40.659,,,true,,
01:44.775,22,0,,,
01:47.776,23,0,,,
01:52.685,24,3,,,
01:53.794,,,true,,
01:56.796,25,0,,,
01:58.597,,,true,,
01:59.229,,,true,,
01:59.398,26,1,,,
02:02.399,27,3,,,
02:05.400,28,0,,,
02:08.401,29,0,,,
02:17.922,,,,1,
03:41.134,,,,,1
