time,index,clicks,spacebar,game won
00:03.002,1,2,,
00:06.003,2,2,,
00:09.005,3,1,,
00:11.016,,,true,
00:11.951,,,true,
00:12.006,4,0,,
00:13.343,,,true,
00:14.495,,,true,
00:15.407,,,true,
00:15.719,,,true,
00:15.984,,,true,
00:16.502,,,true,
00:16.620,,,true,
00:16.739,,,true,
00:16.857,,,true,
00:16.976,,,true,
00:17.007,5,0,,
00:17.095,,,true,
00:17.213,,,true,
00:17.332,,,true,
00:17.451,,,true,
00:17.569,,,true,
00:17.688,,,true,
00:17.807,,,true,
00:17.925,,,true,
00:18.044,,,true,
00:18.162,,,true,
00:18.281,,,true,
00:18.400,,,true,
00:18.518,,,true,
00:18.637,,,true,
00:18.756,,,true,
00:18.874,,,true,
00:18.993,,,true,
00:19.112,,,true,
00:19.230,,,true,
00:19.349,,,true,
00:19.467,,,true,
00:19.586,,,true,
00:19.705,,,true,
00:19.823,,,true,
00:19.942,,,true,
00:20.061,,,true,
00:20.179,,,true,
00:20.298,,,true,
00:20.417,,,true,
00:20.535,,,true,
00:20.654,,,true,
00:20.773,,,true,
00:20.891,,,true,
00:21.010,,,true,
00:21.128,,,true,
00:21.247,,,true,
00:21.366,,,true,
00:21.484,,,true,
00:21.603,,,true,
00:21.722,,,true,
00:21.840,,,true,
00:21.959,,,true,
00:22.008,6,0,,
00:22.078,,,true,
00:22.202,,,true,
00:22.472,,,true,
00:23.176,,,true,
00:23.472,,,true,
00:24.128,,,true,
00:24.416,,,true,
00:24.848,,,true,
00:25.800,,,true,
00:26.095,,,true,
00:26.319,,,true,
00:26.543,,,true,
00:27.008,7,2,,
00:27.640,,,true,
00:29.727,,,true,
00:30.287,,,true,
00:32.008,8,1,,
00:32.767,,,true,
00:33.103,,,true,
00:33.592,,,true,
00:33.864,,,true,
00:34.128,,,true,
00:34.664,,,true,
00:34.952,,,true,
00:35.600,,,true,
00:35.800,,,true,
00:36.016,,,true,
00:36.656,,,true,
00:36.880,,,true,
00:37.010,10,1,,
00:37.128,,,true,
00:37.335,,,true,
00:37.584,,,true,
00:37.792,,,true,
00:38.010,11,0,,
00:38.048,,,true,
00:38.320,,,true,
00:39.976,,,true,
00:40.200,,,true,
00:40.440,,,true,
00:40.648,,,true,
00:40.920,,,true,
00:41.344,,,true,
00:41.584,,,true,
00:41.808,,,true,
00:42.056,,,true,
00:42.247,,,true,
00:42.521,,,true,
00:42.714,,,true,
00:42.929,,,true,
00:43.145,,,true,
00:43.338,,,true,
00:43.562,,,true,
00:43.801,,,true,
00:44.017,,,true,
00:44.321,,,true,
00:44.561,,,true,
00:44.905,,,true,
00:45.418,,,true,
00:45.537,,,true,
00:45.656,,,true,
00:45.774,,,true,
00:45.893,,,true,
00:46.012,,,true,
00:46.130,,,true,
00:46.289,,,true,
00:46.449,,,true,
00:46.961,,,true,
00:47.079,,,true,
00:47.198,,,true,
00:47.317,,,true,
00:47.435,,,true,
00:47.553,,,true,
00:47.673,,,true,
00:47.791,,,true,
00:47.910,,,true,
00:48.029,,,true,
00:48.147,,,true,
00:48.266,,,true,
