time,index,clicks,spacebar,restartpart1,endgame
00:03.001,1,0,,,
00:06.002,2,1,,,
00:09.004,3,4,,,
00:10.767,,,true,,
00:12.006,4,3,,,
00:13.928,,,true,,
00:16.335,,,true,,
00:17.006,5,6,,,
00:18.727,,,true,,
00:22.006,6,12,,,
00:22.311,,,true,,
00:25.023,,,true,,
00:27.006,7,9,,,
00:28.247,,,true,,
00:30.680,,,true,,
00:31.080,,,true,,
00:31.384,,,true,,
00:31.648,,,true,,
00:31.928,,,true,,
00:32.008,8,5,,,
00:33.768,,,true,,
00:34.088,,,true,,
00:34.327,,,true,,
00:34.584,,,true,,
00:34.767,,,true,,
00:35.023,,,true,,
00:35.247,,,true,,
00:35.463,,,true,,
00:35.687,,,true,,
00:35.919,,,true,,
00:36.167,,,true,,
00:36.415,,,true,,
00:36.663,,,true,,
00:36.903,,,true,,
00:37.009,10,5,,,
00:37.143,,,true,,
00:37.391,,,true,,
00:37.625,,,true,,
00:37.887,,,true,,
00:38.010,11,0,,,
00:38.143,,,true,,
00:38.407,,,true,,
00:38.663,,,true,,
00:38.903,,,true,,
00:39.215,,,true,,
00:39.488,,,true,,
00:39.767,,,true,,
00:40.023,,,true,,
00:40.303,,,true,,
00:40.567,,,true,,
00:40.823,,,true,,
00:41.103,,,true,,
00:41.367,,,true,,
00:42.087,,,true,,
00:43.823,,,true,,
00:47.088,,,true,,
00:48.760,,,true,,
00:50.496,,,true,,
00:54.967,,,true,,
00:58.594,,,true,,
01:00.146,,,true,,
01:01.362,,,true,,
01:02.714,,,true,,
01:03.290,,,true,,
01:04.090,,,true,,
01:06.867,,,true,,
01:07.018,,,,1,
01:07.018,10,73,,,
01:08.019,11,1,,,
01:11.226,,,,,closed
