time,index,clicks,spacebar,endgame
00:03.003,1,6,,
00:06.004,2,2,,
00:09.007,3,0,,
00:09.834,,,true,
00:10.562,,,true,
00:11.274,,,true,
00:11.594,,,true,
00:11.881,,,true,
00:12.008,4,0,,
00:12.201,,,true,
00:12.529,,,true,
00:12.969,,,true,
00:13.338,,,true,
00:13.674,,,true,
00:13.977,,,true,
00:14.361,,,true,
00:14.730,,,true,
00:15.201,,,true,
00:15.937,,,true,
00:16.657,,,true,
00:17.008,5,0,,
00:17.161,,,true,
00:17.545,,,true,
00:17.841,,,true,
00:19.129,,,true,
00:19.537,,,true,
00:19.897,,,true,
00:20.473,,,true,
00:21.793,,,true,
00:22.009,6,0,,
00:22.121,,,true,
00:22.393,,,true,
00:22.641,,,true,
00:22.913,,,true,
00:23.201,,,true,
00:23.489,,,true,
00:23.785,,,true,
00:24.041,,,true,
00:24.305,,,true,
00:24.561,,,true,
00:24.817,,,true,
00:25.041,,,true,
00:25.305,,,true,
00:25.553,,,true,
00:25.793,,,true,
00:26.042,,,true,
00:26.290,,,true,
00:26.562,,,true,
00:26.850,,,true,
00:27.011,7,0,,
00:27.114,,,true,
00:27.450,,,true,
00:27.874,,,true,
00:28.170,,,true,
00:28.466,,,true,
00:28.786,,,true,
00:29.082,,,true,
00:29.626,,,true,
00:29.882,,,true,
00:30.274,,,true,
00:30.602,,,true,
00:30.922,,,true,
00:31.218,,,true,
00:31.497,,,true,
00:31.746,,,true,
00:32.011,8,0,,
00:32.026,,,true,
00:32.297,,,true,
00:32.529,,,true,
00:32.778,,,true,
00:33.025,,,true,
00:33.266,,,true,
00:33.513,,,true,
00:33.770,,,true,
00:34.025,,,true,
00:34.297,,,true,
00:34.545,,,true,
00:34.825,,,true,
00:35.073,,,true,
00:35.313,,,true,
00:35.625,,,true,
00:35.945,,,true,
00:36.273,,,true,
00:36.545,,,true,
00:36.809,,,true,
00:37.012,10,0,,
00:37.681,,,true,
00:37.985,,,true,
00:38.013,11,0,,
00:38.265,,,true,
00:38.545,,,true,
00:38.809,,,true,
00:39.305,,,true,
00:39.625,,,true,
00:39.961,,,true,
00:40.201,,,true,
00:40.529,,,true,
00:40.897,,,true,
00:41.185,,,true,
00:41.465,,,true,
00:41.825,,,true,
00:42.233,,,true,
00:42.561,,,true,
00:42.913,,,true,
00:43.289,,,true,
00:43.626,,,true,
00:43.946,,,true,
00:44.282,,,true,
00:44.834,,,true,
00:45.130,,,true,
00:45.410,,,true,
00:45.666,,,true,
00:45.914,,,true,
00:46.170,,,true,
00:46.442,,,true,
00:46.698,,,true,
00:46.954,,,true,
00:47.226,,,true,
00:47.514,,,true,
00:47.762,,,true,
00:48.010,,,true,
00:48.266,,,true,
00:48.530,,,true,
00:48.770,,,true,
00:49.002,,,true,
00:49.250,,,true,
00:49.506,,,true,
00:49.730,,,true,
00:50.010,,,true,
00:50.257,,,true,
00:50.506,,,true,
00:50.777,,,true,
00:51.033,,,true,
00:51.289,,,true,
00:51.545,,,true,
00:51.785,,,true,
00:52.025,,,true,
00:52.281,,,true,
00:52.521,,,true,
00:52.817,,,true,
00:53.081,,,true,
00:53.353,,,true,
00:53.641,,,true,
00:53.945,,,true,
00:54.217,,,true,
00:54.489,,,true,
00:54.777,,,true,
00:55.049,,,true,
00:55.305,,,true,
00:55.569,,,true,
00:55.825,,,true,
00:56.097,,,true,
00:56.353,,,true,
00:56.601,,,true,
00:56.857,,,true,
00:57.121,,,true,
00:57.409,,,true,
00:57.665,,,true,
00:57.913,,,true,
00:58.193,,,true,
00:58.449,,,true,
00:59.985,,,true,
01:00.177,,,true,
01:00.537,,,true,
01:00.769,,,true,
01:01.018,,,true,
01:01.266,,,true,
01:01.529,,,true,
01:01.762,,,true,
01:02.010,,,true,
01:02.258,,,true,
01:02.522,,,true,
01:02.785,,,true,
01:03.044,,,true,
01:03.300,,,true,
01:03.548,,,true,
01:03.812,,,true,
01:04.051,,,true,
01:04.316,,,true,
01:04.572,,,true,
01:04.844,,,true,
01:05.108,,,true,
01:05.372,,,true,
01:05.644,,,true,
01:05.908,,,true,
01:06.140,,,true,
01:06.404,,,true,
01:06.683,,,true,
01:06.892,,,true,
01:07.139,,,true,
01:07.428,,,true,
01:07.659,,,true,
01:07.932,,,true,
01:08.195,,,true,
01:09.016,12,0,,
01:14.017,13,2,,
01:17.018,14,2,,
01:20.190,15,0,,
01:21.867,,,,closed
