time,index,clicks,spacebar,restartpart2,game won
00:03.002,1,0,,,
00:06.002,2,3,,,
00:09.005,3,1,,,
00:10.384,,,true,,
00:12.005,4,3,,,
00:15.337,,,true,,
00:15.601,,,true,,
00:15.849,,,true,,
00:17.007,5,14,,,
00:17.193,,,true,,
00:17.632,,,true,,
00:18.405,,,true,,
00:20.074,,,true,,
00:20.505,,,true,,
00:20.834,,,true,,
00:22.008,6,6,,,
00:23.201,,,true,,
00:23.531,,,true,,
00:24.896,,,true,,
00:25.142,,,true,,
00:25.372,,,true,,
00:25.602,,,true,,
00:25.803,,,true,,
00:26.025,,,true,,
00:26.259,,,true,,
00:26.618,,,true,,
00:26.854,,,true,,
00:27.009,7,14,,,
00:28.395,,,true,,
00:30.346,,,true,,
00:32.010,8,0,,,
00:32.552,,,true,,
00:33.106,,,true,,
00:33.501,,,true,,
00:34.638,,,true,,
00:34.882,,,true,,
00:35.102,,,true,,
00:35.388,,,true,,
00:37.012,10,8,,,
00:38.013,11,3,,,
00:38.087,,,true,,
00:40.497,,,true,,
00:41.009,,,true,,
00:41.371,,,true,,
00:42.791,,,true,,
00:43.122,,,true,,
00:43.576,,,true,,
00:44.955,,,true,,
00:45.250,,,true,,
00:45.509,,,true,,
00:45.752,,,true,,
00:46.007,,,true,,
00:46.252,,,true,,
00:46.497,,,true,,
00:46.768,,,true,,
00:47.015,,,true,,
00:47.280,,,true,,
00:48.197,,,true,,
00:48.418,,,true,,
00:48.655,,,true,,
00:48.935,,,true,,
00:49.473,,,true,,
00:49.792,,,true,,
00:50.073,,,true,,
00:50.349,,,true,,
00:50.631,,,true,,
00:50.952,,,true,,
00:51.255,,,true,,
00:51.552,,,true,,
00:51.878,,,true,,
00:52.141,,,true,,
00:52.420,,,true,,
00:52.691,,,true,,
00:53.076,,,true,,
00:53.829,,,true,,
00:54.130,,,true,,
00:54.547,,,true,,
00:54.841,,,true,,
00:55.610,,,true,,
00:55.897,,,true,,
00:56.197,,,true,,
00:56.490,,,true,,
00:56.794,,,true,,
00:57.258,,,true,,
00:57.600,,,true,,
00:57.912,,,true,,
00:58.175,,,true,,
00:58.444,,,true,,
00:58.888,,,true,,
00:59.158,,,true,,
00:59.449,,,true,,
00:59.764,,,true,,
01:00.050,,,true,,
01:00.329,,,true,,
01:00.636,,,true,,
01:01.189,,,true,,
01:01.484,,,true,,
01:01.787,,,true,,
01:02.082,,,true,,
01:02.395,,,true,,
01:02.701,,,true,,
01:03.034,,,true,,
01:03.332,,,true,,
01:03.614,,,true,,
01:03.911,,,true,,
01:04.227,,,true,,
01:04.927,,,true,,
01:05.246,,,true,,
01:05.582,,,true,,
01:05.889,,,true,,
01:06.214,,,true,,
01:06.536,,,true,,
01:06.866,,,true,,
01:07.773,,,true,,
01:08.056,,,true,,
01:08.567,,,true,,
01:08.955,,,true,,
01:09.013,12,105,,,
01:13.224,,,true,,
01:14.015,13,2,,,
01:17.017,14,0,,,
01:20.017,15,0,,,
01:23.019,16,0,,,
01:25.770,17,0,,,
01:28.772,18,0,,,
01:33.771,19,0,,,
01:36.773,20,0,,,
01:39.776,21,1,,,
01:46.122,,,true,,
01:49.123,25,13,,,
01:50.823,,,true,,
01:51.319,,,true,,
01:51.553,,,true,,
01:51.724,26,1,,,
01:51.792,,,true,,
01:52.299,,,true,,
01:52.638,,,true,,
01:53.709,,,true,,
01:53.957,,,true,,
01:54.212,,,true,,
01:54.471,,,true,,
01:54.724,27,0,,,
01:57.726,28,0,,,
02:00.727,29,0,,,
02:06.501,,,,1,
02:45.380,,,,1,
03:43.124,,,,1,
04:16.972,,,,1,
04:31.228,,,,1,
05:04.462,,,,,1
