time,index,clicks,spacebar,restartpart2,game won
00:03.001,1,3,,,
00:06.003,2,0,,,
00:08.400,,,true,,
00:09.005,3,0,,,
00:10.375,,,true,,
00:11.679,,,true,,
00:12.006,4,3,,,
00:13.383,,,true,,
00:13.735,,,true,,
00:14.655,,,true,,
00:16.847,,,true,,
00:17.006,5,1,,,
00:17.327,,,true,,
00:18.023,,,true,,
00:18.239,,,true,,
00:18.447,,,true,,
00:18.679,,,true,,
00:21.383,,,true,,
00:22.006,6,2,,,
00:23.408,,,true,,
00:23.824,,,true,,
00:24.112,,,true,,
00:26.008,,,true,,
00:26.248,,,true,,
00:26.496,,,true,,
00:26.696,,,true,,
00:26.904,,,true,,
00:27.007,7,0,,,
00:27.104,,,true,,
00:27.328,,,true,,
00:27.520,,,true,,
00:27.728,,,true,,
00:27.944,,,true,,
00:28.120,,,true,,
00:28.336,,,true,,
00:28.552,,,true,,
00:28.768,,,true,,
00:28.975,,,true,,
00:29.200,,,true,,
00:29.431,,,true,,
00:30.471,,,true,,
00:30.671,,,true,,
00:30.879,,,true,,
00:31.095,,,true,,
00:31.455,,,true,,
00:31.543,,,true,,
00:31.639,,,true,,
00:31.911,,,true,,
00:32.007,8,0,,,
00:32.143,,,true,,
00:32.335,,,true,,
00:32.854,,,true,,
00:32.973,,,true,,
00:33.095,,,true,,
00:33.399,,,true,,
00:33.551,,,true,,
00:34.074,,,true,,
00:34.193,,,true,,
00:34.312,,,true,,
00:34.430,,,true,,
00:34.549,,,true,,
00:34.668,,,true,,
00:34.786,,,true,,
00:34.905,,,true,,
00:35.024,,,true,,
00:35.142,,,true,,
00:35.261,,,true,,
00:35.380,,,true,,
00:35.498,,,true,,
00:35.617,,,true,,
00:35.735,,,true,,
00:35.854,,,true,,
00:35.973,,,true,,
00:36.091,,,true,,
00:36.210,,,true,,
00:36.328,,,true,,
00:36.447,,,true,,
00:36.566,,,true,,
00:36.687,,,true,,
00:36.927,,,true,,
00:37.009,10,0,,,
00:37.447,,,true,,
00:37.566,,,true,,
00:37.685,,,true,,
00:37.803,,,true,,
00:37.921,,,true,,
00:38.010,11,0,,,
00:38.040,,,true,,
00:38.159,,,true,,
00:38.278,,,true,,
00:38.396,,,true,,
00:38.515,,,true,,
00:38.634,,,true,,
00:38.703,,,true,,
00:39.227,,,true,,
00:39.345,,,true,,
00:39.464,,,true,,
00:39.584,,,true,,
00:39.702,,,true,,
00:39.821,,,true,,
00:39.940,,,true,,
00:40.058,,,true,,
00:40.177,,,true,,
00:40.296,,,true,,
00:40.414,,,true,,
00:40.533,,,true,,
00:40.651,,,true,,
00:40.770,,,true,,
00:40.889,,,true,,
00:41.007,,,true,,
00:41.126,,,true,,
00:41.245,,,true,,
00:41.363,,,true,,
00:41.712,,,true,,
00:42.016,,,true,,
00:42.296,,,true,,
00:42.584,,,true,,
00:44.680,,,true,,
00:45.160,,,true,,
00:47.424,,,true,,
00:47.728,,,true,,
00:48.287,,,true,,
00:48.503,,,true,,
00:50.008,,,true,,
00:50.175,,,true,,
00:50.375,,,true,,
00:50.531,,,true,,
00:50.715,,,true,,
00:52.099,,,true,,
00:52.307,,,true,,
