time,index,clicks,spacebar,restartpart1,restartpart2,game won
00:03.003,1,0,,,,
00:06.004,2,2,,,,
00:09.006,3,7,,,,
00:10.514,,,true,,,
00:12.007,4,6,,,,
00:15.337,,,true,,,
00:15.769,,,true,,,
00:15.977,,,true,,,
00:16.177,,,true,,,
00:16.353,,,true,,,
00:16.537,,,true,,,
00:16.705,,,true,,,
00:16.882,,,true,,,
00:17.007,5,12,,,,
00:17.057,,,true,,,
00:17.225,,,true,,,
00:17.393,,,true,,,
00:18.201,,,true,,,
00:18.393,,,true,,,
00:20.345,,,true,,,
00:20.569,,,true,,,
00:20.721,,,true,,,
00:20.913,,,true,,,
00:21.313,,,true,,,
00:21.497,,,true,,,
00:21.665,,,true,,,
00:21.849,,,true,,,
00:22.008,6,8,,,,
00:22.025,,,true,,,
00:22.193,,,true,,,
00:22.377,,,true,,,
00:22.537,,,true,,,
00:22.705,,,true,,,
00:22.897,,,true,,,
00:23.057,,,true,,,
00:24.665,,,true,,,
00:24.849,,,true,,,
00:27.008,7,11,,,,
00:27.233,,,true,,,
00:29.865,,,true,,,
00:31.737,,,true,,,
00:31.929,,,true,,,
00:32.009,8,11,,,,
00:32.097,,,true,,,
00:32.273,,,true,,,
00:32.449,,,true,,,
00:32.625,,,true,,,
00:32.817,,,true,,,
00:32.985,,,true,,,
00:33.162,,,true,,,
00:34.705,,,true,,,
00:34.865,,,true,,,
00:35.041,,,true,,,
00:35.209,,,true,,,
00:35.385,,,true,,,
00:35.585,,,true,,,
00:37.010,10,14,,,,
00:37.625,,,true,,,
00:37.793,,,true,,,
00:37.993,,,true,,,
00:38.011,11,3,,,,
00:40.121,,,true,,,
00:40.313,,,true,,,
00:42.289,,,true,,,
00:42.449,,,true,,,
00:42.625,,,true,,,
00:42.809,,,true,,,
00:42.969,,,true,,,
00:43.145,,,true,,,
00:43.337,,,true,,,
00:43.529,,,true,,,
00:43.713,,,true,,,
00:43.889,,,true,,,
00:44.065,,,true,,,
00:44.225,,,true,,,
00:44.401,,,true,,,
00:44.569,,,true,,,
00:44.721,,,true,,,
00:44.889,,,true,,,
00:45.065,,,true,,,
00:45.217,,,true,,,
00:45.370,,,true,,,
00:45.537,,,true,,,
00:45.698,,,true,,,
00:45.865,,,true,,,
00:46.025,,,true,,,
00:46.194,,,true,,,
00:46.353,,,true,,,
00:46.537,,,true,,,
00:46.729,,,true,,,
00:46.897,,,true,,,
00:47.073,,,true,,,
00:47.265,,,true,,,
00:47.434,,,true,,,
00:47.609,,,true,,,
00:47.676,,,,1,,
00:47.676,10,26,,,,
00:47.793,,,true,,,
00:47.961,,,true,,,
00:48.677,11,1,,,,
00:49.665,,,true,,,
00:49.857,,,true,,,
00:50.041,,,true,,,
00:50.233,,,true,,,
00:50.433,,,true,,,
00:50.633,,,true,,,
00:50.825,,,true,,,
00:51.017,,,true,,,
00:51.241,,,true,,,
00:51.465,,,true,,,
00:51.665,,,true,,,
00:51.881,,,true,,,
00:56.451,,,,1,,
00:56.451,10,11,,,,
00:57.452,11,0,,,,
00:57.881,,,true,,,
00:58.065,,,true,,,
00:58.289,,,true,,,
