time,index,clicks,spacebar,restartpart1,endgame
03.002,1,0,,,
06.005,2,2,,,
09.012,3,0,,,
10.417,,,true,,
12.013,4,0,,,
13.309,,,true,,
13.662,,,true,,
14.020,,,true,,
14.360,,,true,,
14.640,,,true,,
14.845,,,true,,
15.232,,,true,,
15.770,,,true,,
16.055,,,true,,
16.460,,,true,,
17.014,5,7,,,
17.508,,,true,,
17.749,,,true,,
18.231,,,true,,
18.803,,,true,,
22.018,6,5,,,
22.029,,,true,,
22.723,,,true,,
23.099,,,true,,
23.391,,,true,,
23.641,,,true,,
23.921,,,true,,
24.557,,,true,,
24.851,,,true,,
25.504,,,true,,
26.119,,,true,,
26.381,,,true,,
26.620,,,true,,
26.837,,,true,,
27.022,7,9,,,
27.110,,,true,,
32.024,8,8,,,
37.028,10,12,,,
37.475,,,,1,
37.476,10,2,,,
38.289,,,true,,
38.478,11,1,,,
38.911,,,true,,
39.431,,,true,,
40.210,,,true,,
40.459,,,true,,
40.621,,,true,,
40.973,,,true,,
42.211,,,true,,
42.502,,,true,,
43.051,,,true,,
43.306,,,true,,
43.531,,,true,,
44.668,10,7,,,
44.909,,,true,,
45.671,11,2,,,
47.109,,,true,,
47.294,,,true,,
48.928,,,true,,
50.360,,,,1,
50.361,10,6,,,
51.249,,,true,,
51.362,11,1,,,
51.510,,,true,,
51.869,,,true,,
52.142,,,true,,
52.398,,,true,,
52.645,,,true,,
52.979,,,true,,
53.288,,,true,,
53.989,,,true,,
54.259,,,true,,
54.617,,,true,,
55.481,,,,1,
55.482,10,8,,,
55.584,,,true,,
56.380,,,,,closed
