time,index,clicks,spacebar,restartpart2,game won
00:03.001,1,0,,,
00:06.002,2,3,,,
00:09.004,3,5,,,
00:10.928,,,true,,
00:12.005,4,2,,,
00:13.528,,,true,,
00:15.816,,,true,,
00:17.005,5,7,,,
00:21.711,,,true,,
00:22.006,6,13,,,
00:27.006,7,12,,,
00:27.200,,,true,,
00:32.007,8,1,,,
00:33.496,,,true,,
00:37.008,10,10,,,
00:38.009,11,1,,,
00:40.095,,,true,,
00:42.423,,,true,,
00:42.919,,,true,,
00:43.895,,,true,,
00:47.048,,,true,,
00:54.279,,,true,,
00:59.282,,,true,,
01:00.482,,,true,,
01:00.866,,,true,,
01:01.362,,,true,,
01:01.778,,,true,,
01:02.651,,,true,,
01:07.243,,,true,,
01:09.014,12,40,,,
01:14.015,13,1,,,
01:17.016,14,0,,,
01:20.018,15,0,,,
01:23.019,16,0,,,
01:25.770,17,0,,,
01:28.771,18,0,,,
01:33.771,19,0,,,
01:36.772,20,0,,,
01:39.774,21,0,,,
01:44.775,22,0,,,
01:47.776,23,0,,,
01:54.226,,,true,,
01:55.186,,,true,,
01:57.228,25,1,,,
01:58.243,,,true,,
01:59.099,,,true,,
01:59.831,26,2,,,
02:02.832,27,3,,,
02:05.834,28,0,,,
02:08.835,29,0,,,
02:27.242,,,,1,
02:32.820,,,,1,
02:39.091,,,,1,
02:46.996,,,,1,
03:17.246,,,,1,
03:41.807,,,,1,
04:42.222,,,,,1
