time,index,clicks,spacebar,game won
00:03.001,1,0,,
00:06.001,2,5,,
00:07.304,,,true,
00:09.004,3,3,,
00:09.992,,,true,
00:10.472,,,true,
00:10.712,,,true,
00:10.944,,,true,
00:11.176,,,true,
00:11.448,,,true,
00:11.640,,,true,
00:12.000,,,true,
00:12.004,4,6,,
00:12.192,,,true,
00:12.344,,,true,
00:12.536,,,true,
00:12.744,,,true,
00:13.048,,,true,
00:13.344,,,true,
00:13.568,,,true,
00:13.824,,,true,
00:14.064,,,true,
00:14.344,,,true,
00:14.616,,,true,
00:15.016,,,true,
00:15.192,,,true,
00:15.384,,,true,
00:15.816,,,true,
00:16.056,,,true,
00:16.231,,,true,
00:16.416,,,true,
00:16.600,,,true,
00:16.760,,,true,
00:17.004,5,0,,
00:17.024,,,true,
00:17.184,,,true,
00:17.416,,,true,
00:17.591,,,true,
00:17.719,,,true,
00:17.896,,,true,
00:17.991,,,true,
00:18.288,,,true,
00:18.463,,,true,
00:18.568,,,true,
00:18.751,,,true,
00:18.855,,,true,
00:19.031,,,true,
00:19.151,,,true,
00:19.319,,,true,
00:19.439,,,true,
00:19.599,,,true,
00:19.728,,,true,
00:19.887,,,true,
00:20.405,,,true,
00:20.524,,,true,
00:20.642,,,true,
00:20.761,,,true,
00:20.880,,,true,
00:20.998,,,true,
00:21.117,,,true,
00:21.236,,,true,
00:21.354,,,true,
00:21.473,,,true,
00:21.591,,,true,
00:21.710,,,true,
00:21.807,,,true,
00:22.005,6,0,,
00:22.320,,,true,
00:22.439,,,true,
00:22.557,,,true,
00:22.676,,,true,
00:22.795,,,true,
00:22.913,,,true,
00:23.032,,,true,
00:23.151,,,true,
00:23.269,,,true,
00:23.387,,,true,
00:23.507,,,true,
00:23.625,,,true,
00:23.744,,,true,
00:23.863,,,true,
00:23.982,,,true,
00:24.101,,,true,
00:24.219,,,true,
00:24.338,,,true,
00:24.457,,,true,
00:24.575,,,true,
00:24.694,,,true,
00:24.813,,,true,
00:24.931,,,true,
00:25.050,,,true,
00:25.169,,,true,
00:25.287,,,true,
00:25.406,,,true,
00:25.524,,,true,
00:25.643,,,true,
00:25.762,,,true,
00:25.880,,,true,
00:25.999,,,true,
00:26.118,,,true,
00:26.236,,,true,
00:26.355,,,true,
00:26.474,,,true,
00:26.592,,,true,
00:26.711,,,true,
00:26.829,,,true,
00:26.948,,,true,
00:27.006,7,0,,
00:27.067,,,true,
00:27.185,,,true,
00:27.304,,,true,
00:27.423,,,true,
00:27.541,,,true,
00:27.660,,,true,
00:27.779,,,true,
00:27.897,,,true,
00:28.016,,,true,
00:28.140,,,true,
00:28.253,,,true,
00:28.372,,,true,
00:28.490,,,true,
00:28.609,,,true,
00:28.728,,,true,
00:28.846,,,true,
00:28.965,,,true,
00:29.084,,,true,
00:29.202,,,true,
00:29.321,,,true,
00:29.439,,,true,
00:29.558,,,true,
00:29.677,,,true,
00:29.795,,,true,
00:29.913,,,true,
00:30.033,,,true,
00:30.151,,,true,
00:30.270,,,true,
00:30.389,,,true,
00:30.507,,,true,
00:30.626,,,true,
00:30.744,,,true,
00:30.863,,,true,
00:30.982,,,true,
00:31.100,,,true,
00:31.219,,,true,
00:31.338,,,true,
00:31.456,,,true,
00:31.575,,,true,
00:31.694,,,true,
00:31.812,,,true,
00:31.931,,,true,
00:32.006,8,0,,
00:32.050,,,true,
00:32.168,,,true,
00:32.287,,,true,
00:32.405,,,true,
00:32.524,,,true,
00:32.643,,,true,
00:32.761,,,true,
00:32.880,,,true,
00:32.999,,,true,
00:33.117,,,true,
00:33.236,,,true,
00:33.355,,,true,
00:33.473,,,true,
00:33.592,,,true,
00:33.710,,,true,
00:33.829,,,true,
00:33.948,,,true,
00:34.066,,,true,
00:34.185,,,true,
00:34.304,,,true,
00:34.422,,,true,
00:34.541,,,true,
00:34.660,,,true,
00:34.778,,,true,
00:34.897,,,true,
00:35.015,,,true,
00:35.134,,,true,
00:35.253,,,true,
00:35.371,,,true,
00:35.490,,,true,
00:35.609,,,true,
00:35.727,,,true,
00:35.846,,,true,
00:35.965,,,true,
00:36.083,,,true,
00:36.201,,,true,
00:36.320,,,true,
00:36.439,,,true,
00:36.558,,,true,
00:36.676,,,true,
00:36.795,,,true,
00:36.914,,,true,
00:37.014,10,0,,
00:37.032,,,true,
00:37.151,,,true,
00:37.270,,,true,
00:37.388,,,true,
00:37.507,,,true,
00:37.625,,,true,
00:37.744,,,true,
00:37.863,,,true,
00:37.981,,,true,
00:38.015,11,0,,
00:38.100,,,true,
00:38.219,,,true,
00:38.337,,,true,
00:38.456,,,true,
00:38.575,,,true,
00:38.693,,,true,
00:38.812,,,true,
00:38.930,,,true,
00:39.049,,,true,
00:39.168,,,true,
00:39.286,,,true,
00:39.405,,,true,
00:39.524,,,true,
00:39.642,,,true,
00:39.761,,,true,
00:39.880,,,true,
00:39.998,,,true,
00:40.117,,,true,
00:40.235,,,true,
00:40.354,,,true,
00:40.473,,,true,
00:40.591,,,true,
00:40.710,,,true,
00:40.829,,,true,
00:40.947,,,true,
00:41.066,,,true,
00:41.185,,,true,
00:41.304,,,true,
00:41.423,,,true,
00:41.541,,,true,
00:41.660,,,true,
00:41.778,,,true,
00:41.897,,,true,
00:42.016,,,true,
00:42.135,,,true,
00:42.253,,,true,
00:42.372,,,true,
00:42.491,,,true,
00:42.609,,,true,
00:42.728,,,true,
00:42.847,,,true,
00:42.965,,,true,
00:43.084,,,true,
00:43.202,,,true,
00:43.321,,,true,
00:43.440,,,true,
00:43.558,,,true,
00:43.677,,,true,
00:43.796,,,true,
00:43.914,,,true,
00:44.033,,,true,
00:44.152,,,true,
00:44.270,,,true,
00:44.389,,,true,
00:44.508,,,true,
00:44.626,,,true,
00:44.745,,,true,
00:44.863,,,true,
00:44.982,,,true,
00:45.101,,,true,
00:45.219,,,true,
00:45.338,,,true,
00:45.457,,,true,
00:45.575,,,true,
00:45.694,,,true,
